Identificador;Categoria {pt-br};Categoria {en-us};SubCategoria {pt-br};SubCategoria {en-us};Agrupador {pt-br};Grouper {en-us};Objeto {pt-br};Object {en-us};Serviço {pt-br};Service {en-us};Complemento {pt-br};Complement {en-us};Descrição {pt-br};Descrição {en-us};Esforço;Atendimento Corporativo;SLA;Grupo solucionador;Comnetários {pt-br};Comentários - {en-us};Quem Solicita - Ninguém;Quem Solicita - Todos;Quem solicita - TI;Quem solicita - Servicedesk;Quem solicita - Governança;Quem solicita - Key user;Quem solicita - DHO;Quem solicita - VSC;Quem solicita - GQ;Aprovação - Líder;Aprovação - Coord Grupo Soluc.;Aprovação - Diretor;Aprovação - Gerente;Aprovação - Gerente TI;Aprovação - Dono;Aprovação - Adicional;TipoServiço;Automatizado;Automatizado - Preparação;Automatizado - complemento
ITSM-CS-0000025;DTI - Equipamentos da Planta;ITD - Plant Equipment;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Acompanhamento a consultoria externa (suporte assistido);Monitoring of external consultants (watched support);Fábrica / Planta;Fábrica / Planta;Acompanhamento a consultoria externa (suporte assistido);Monitoring of external consultants (watched support);16;;999;AUTOMACAO;Acompanhamento a consultoria externa (suporte assistido);Monitoring of external consultants (watched support);1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000026;DTI - Equipamentos da Planta;ITD - Plant Equipment;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Falha de hardware;Hardware failure;Fábrica / Planta;Fábrica / Planta;Falha de hardware;Hardware failure;8;;72;AUTOMACAO;Falha de hardware;Hardware failure;1,00;;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000027;DTI - Equipamentos da Planta;ITD - Plant Equipment;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Falha de rede;network failure;Fábrica / Planta;Fábrica / Planta;Falha de rede;network failure;8;;72;AUTOMACAO;Falha de rede;network failure;1,00;;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000028;DTI - Equipamentos da Planta;ITD - Plant Equipment;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Instalação das estações clientes;Installation of client stations;Fábrica / Planta;Fábrica / Planta;Instalação das estações clientes;Installation of client stations;24;;32;AUTOMACAO;Instalação das estações clientes;Installation of client stations;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000029;DTI - Equipamentos da Planta;ITD - Plant Equipment;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Inventario cíclico;Cyclic inventory;Fábrica / Planta;Fábrica / Planta;Inventario cíclico;Cyclic inventory;24;;32;AUTOMACAO;Inventario cíclico;Cyclic inventory;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000795;DTI - Equipamentos da Planta;ITD - Plant Equipment;core;core;Automação;Automation;Equipamentos de Automação;Automation Equipments;Falha parcial de equipamento;Equipment Partial Failure;Fábrica / Planta;Factory / Site;Todo problema que possa inibir até 1/3 das funcionalidades dos equipamentos;network failure;8;;72;AUTOMACAO;Falha de rede;network failure;1,00;;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000797;DTI - Equipamentos da Planta;ITD - Plant Equipment;core;core;Automação;Automation;Equipamentos de Automação;Automation Equipments;Falha total de equipamento;Equipment Unavailable;Fábrica / Planta;Factory / Site;Equipamento totalmente indisponível;Network failure;8;;72;AUTOMACAO;Falha de rede;Network failure;1,00;;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000030;DTI - Equipamentos Laboratoriais;ITD - Laboratories Equipments;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Acompanhamento a consultoria externa (suporte assistido);Monitoring of external consultants (watched support);Laboratório;Laboratory;Acompanhamento a consultoria externa (suporte assistido);Monitoring of external consultants (watched support);16;;999;AUTOMACAO;Acompanhamento a consultoria externa (suporte assistido);Monitoring of external consultants (watched support);1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000031;DTI - Equipamentos Laboratoriais;ITD - Laboratories Equipments;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Falha de hardware;Hardware failure;Laboratório;Laboratory;Falha de hardware;Hardware failure;8;;72;AUTOMACAO;Falha de hardware;Hardware failure;1,00;;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000032;DTI - Equipamentos Laboratoriais;ITD - Laboratories Equipments;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Falha de rede;network failure;Laboratório;Laboratory;Falha de rede;network failure;8;;72;AUTOMACAO;Falha de rede;network failure;1,00;;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000033;DTI - Equipamentos Laboratoriais;ITD - Laboratories Equipments;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Instalação das estações clientes;Installation of client stations;Laboratório;Laboratory;Instalação das estações clientes;Installation of client stations;24;;32;AUTOMACAO;Instalação das estações clientes;Installation of client stations;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000034;DTI - Equipamentos Laboratoriais;ITD - Laboratories Equipments;core;core;Automação;Automation;Equipamentos de Automação;Equipamentos de Automação;Inventario cíclico;Cyclic inventory;Laboratório;Laboratory;Inventario cíclico;Cyclic inventory;24;;32;AUTOMACAO;Inventario cíclico;Cyclic inventory;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000796;DTI - Equipamentos Laboratoriais;ITD - Laboratories Equipments;core;core;Automação;Automation;Equipamentos de Automação;Automation Equipments;Falha parcial de equipamento;Equipment Partial Failure;Laboratório;Laboratory;Todo problema que possa inibir até 1/3 das funcionalidades dos equipamentos;network failure;8;;72;AUTOMACAO;Falha de rede;network failure;1,00;;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000798;DTI - Equipamentos Laboratoriais;ITD - Laboratories Equipments;core;core;Automação;Automation;Equipamentos de Automação;Automation Equipments;Falha total de equipamento;Equipment Unavailable;Laboratório;Laboratory;Equipamento totalmente indisponível;network failure;1;;72;AUTOMACAO;Falha de rede;network failure;1,00;;;;;;;;;;;;;;;;Incidente;;;
ITSM-CS-0000035;DTI - Estação padrão de automação;ITD - Automation Process Computer;Segurança de Automação;Automation Security;Automação;Automation;Estação padrão de automação;Estação padrão de automação;Execução de imagem dedicada;Dedicated image execution;Planta;Planta;Execução de imagem dedicada;Dedicated image execution;3;;16;AUTOMACAO;Execução de imagem dedicada;Dedicated image execution;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000036;DTI - Estação padrão de automação;ITD - Automation Process Computer;Segurança de Automação;Automation Security;Automação;Automation;Estação padrão de automação;Estação padrão de automação;Instalação de estação padrão de automação;Standard automation machine installation;Planta;Planta;Instalação de estação padrão de automação;Standard automation machine installation;3;;32;AUTOMACAO;Instalação de estação padrão de automação;Standard automation machine installation;1,00;;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000075;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Acesso à categoria de TI;Acesso à categoria de TI;Solicitação de Acessos ao SE Suite nas Categorias de TI;Solicitação de Acessos ao SE Suite nas Categorias de TI;Fluxo de aprovação;Fluxo de aprovação;"Abertura de chamado pela equipe de TI para solicitação de acesso as categorias de TI.

Nota: Incluir como anexo sua lista de presença de treinamento realizado no TIGV001.";"Opening of the ticket by the IT team to request access to the IT categories

Nota: Incluir como anexo sua lista de presença de treinamento realizado no TIGV001.";240;1;24;GOVERNANCA;Abertura de chamado pela equipe de TI para solicitação de acesso as categorias de TI;Opening of the ticket by the IT team to request access to the IT categories;0,00;;1;;;;;1;;1;1;;;;;;Solicitação1;;;
ITSM-CS-0000076;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Acesso à categoria de TI;Acesso à categoria de TI;Solicitação de Acessos ao SE Suite nas Categorias de TI;Solicitação de Acessos ao SE Suite nas Categorias de TI;Gestão de documentos;Gestão de documentos;"Abertura de chamado pela equipe de TI para solicitação de acesso as categorias de TI.

Nota: Incluir como anexo sua lista de presença de treinamento realizado no TIGV001.";"Opening of the ticket by the IT team to request access to the IT categories.

Nota: Incluir como anexo sua lista de presença de treinamento realizado no TIGV001.";240;1;24;GOVERNANCA;Abertura de chamado pela equipe de TI para solicitação de acesso as categorias de TI;Opening of the ticket by the IT team to request access to the IT categories;0,00;;1;;;;;1;;1;1;;;;;;Solicitação1;;;
ITSM-CS-0000077;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Acesso à categoria de TI;Acesso à categoria de TI;Solicitação de Acessos ao SE Suite nas Categorias de TI;Solicitação de Acessos ao SE Suite nas Categorias de TI;Salvar documentos localmente;Salvar documentos localmente;"Abertura de chamado pela equipe de TI para solicitação de acesso as categorias de TI.

Nota: Incluir como anexo sua lista de presença de treinamento realizado no TIGV001.";"Opening of the ticket by the IT team to request access to the IT categories.

Nota: Incluir como anexo sua lista de presença de treinamento realizado no TIGV001.";240;1;24;GOVERNANCA;Abertura de chamado pela equipe de TI para solicitação de acesso as categorias de TI;Opening of the ticket by the IT team to request access to the IT categories;0,00;;1;;;;;;;1;1;;;;;;Solicitação1;;;
ITSM-CS-0000078;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Acesso à categoria de TI;Acesso à categoria de TI;Solicitação de Acessos ao SE Suite nas Categorias de TI;Solicitação de Acessos ao SE Suite nas Categorias de TI;Consulta;Consulta;"Abertura de chamado pela equipe de TI para solicitação de acesso as categorias de TI.

Nota: Incluir como anexo sua lista de presença de treinamento realizado no TIGV001.";"Opening of the ticket by the IT team to request access to the IT categories.

Nota: Incluir como anexo sua lista de presença de treinamento realizado no TIGV001.";240;1;24;GOVERNANCA;Abertura de chamado pela equipe de TI para solicitação de acesso as categorias de TI;Opening of the ticket by the IT team to request access to the IT categories;0,00;;1;;;;;1;;;;;;;;;Solicitação1;;;
ITSM-CS-0000079;DTI - Governança;ITD - Governance;Portifólio de Serviços de TI;IT Services Portfolio;Governança;Governance;Catálogo de Serviços de TI;Catálogo de Serviços de TI;Alteração de campo do Serviço de TI;Alteração de campo do Serviço de TI;N/A;N/A;Abertura de chamado pela equipe de TI para alteração do nome do serviço;Opening of the ticket by the IT team to change the service name;40;1;40;GOVERNANCA;Abertura de chamado pela equipe de TI para alteração de qualquer um dos campos do Serviço de TI (Descrição, SLA, procedimento,etc..);Opening of the ticket by the IT team to change the service name;0,00;;1;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000080;DTI - Governança;ITD - Governance;Portifólio de Serviços de TI;IT Services Portfolio;Governança;Governance;Catálogo de Serviços de TI;Catálogo de Serviços de TI;Desabilitar Serviço de TI;Desabilitar Serviço de TI;N/A;N/A;Abertura do chamado pela equipe de TI para excluir algum serviço do catálogo de serviços;Opening of the ticket by the IT team to exclude any service from the service catalog;40;1;40;GOVERNANCA;Desabilitar algum serviço do catálogo de serviços;Opening of the ticket by the IT team to exclude any service from the service catalog;0,00;;1;;;;;;;1;1;;;;;;Solicitação1;;;
ITSM-CS-0000081;DTI - Governança;ITD - Governance;Portifólio de Serviços de TI;IT Services Portfolio;Governança;Governance;Catálogo de Serviços de TI;Catálogo de Serviços de TI;Inclusão de um Novo Serviço de TI;Inclusão de um Novo Serviço de TI;N/A;N/A;Abertura de chamado pela equipe de TI para inclusão de novo serviço no catálogo de serviços;Opening of the ticket by the IT team to include a new service in the service catalog;80;1;40;GOVERNANCA;Abertura de chamado pela equipe de TI para inclusão de novo serviço no catálogo de serviços;Opening of the ticket by the IT team to include a new service in the service catalog;0,00;;1;;;;;;;1;1;;;;;;Solicitação1;;;
ITSM-CS-0000082;DTI - Governança;ITD - Governance;Comunicados TI;IT Communication;Governança;Governance;Comunicado;Comunicado;Enviar comunicado de TI;Enviar comunicado de TI;N/A;N/A;Abertura de chamado pela equipe de TI para qualquer assunto relacionado a comunicação para outras áreas;Opening of the ticket by the IT team for any topic related to communication to other areas;40;1;16;GOVERNANCA;Descrever o assunto relacionado à comunicação para outras áreas, com a data, horário;Opening of the ticket by the IT team for any topic related to communication to other areas;0,00;;1;;;;;;;1;1;;;;;;Solicitação1;;;
ITSM-CS-0000084;DTI - Governança;ITD - Governance;Controle Internos e Compliance;Internal Controls and Compliance;Governança;Governance;Conformidade;Conformidade;Registro de Desvio no Processo de TI;Registro de Desvio no Processo de TI;N/A;N/A;Abertura de chamado pela equipe de TI quando for identificado algum procedimento realizado que não esteja em conformidade com as diretrizes da Política de Segurança da Informação e demais Políticas subscritas pela União Quimica;Opening of the ticket the IT team when a procedure is identified that does not comply with the guidelines of the Information Security Policy and other Policies.;40;1;16;GOVERNANCA;Descrever o procedimento que não foi realizado..... quando for identificado algum procedimento realizado que não esteja em conformidade com as diretrizes da Política de Segurança da Informação e demais Políticas subscritas pela União Quimica (mencionar procedimentos);Descrever o procedimento que não foi realizado..... quando for identificado algum procedimento realizado que não esteja em conformidade com as diretrizes da Política de Segurança da Informação e demais Políticas subscritas pela União Quimica (mencionar procedimentos);0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000085;DTI - Governança;ITD - Governance;Controle Internos e Compliance;Internal Controls and Compliance;Governança;Governance;Conformidade;Conformidade;Registro de Não Conformidade (RNC) de TI;Registro de Não Conformidade (RNC) de TI;N/A;N/A;Abertura de chamado pela equipe de TI quando houver necessidade de alguma investigação de um procedimento realizado que não esteja em conformidade com a Política de Segurança da Informação e demais Políticas subscritas pela União Quimica;Opening of the ticket by the IT team when there is a need for an investigation of a procedure carried out that does not comply with the Information Security Policy and other Policies.;960;1;16;GOVERNANCA;Abertura de chamado pela equipe de TI quando houver necessidade de alguma investigação de um procedimento realizado que não esteja em conformidade com a Política de Segurança da Informação e demais Políticas subscritas pela União Quimica;Opening of the ticket by the IT team when there is a need for an investigation of a procedure carried out that does not comply with the Information Security Policy and other Policies.;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000086;DTI - Governança;ITD - Governance;Acompanhamento Operacional;Operational Monitoring;Governança;Governance;Conformidade;Conformidade;Suporte e acompanhamento de desvios externos;Suporte e acompanhamento de desvios externos;N/A;N/A;Abertura de chamado pela equipe de TI para análise e investigação do desvio provenientes da Qualidade com impacto BPX;Opening of the ticket by the IT team for analysis and investigation of deviation from Quality with BPX impact;960;1;72;GOVERNANCA;Descrever o desvio ou informar  o identificador do documento de desvio;Opening of the ticket by the IT team for analysis and investigation of deviation from Quality with BPX impact;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000087;DTI - Governança;ITD - Governance;Controle Internos e Compliance;Internal Controls and Compliance;Governança;Governance;Conformidade;Conformidade;Suporte à auditorias externas e internas;Suporte à auditorias externas e internas;Geração de Informação;Geração de Informação;Abertura de chamado para apuração de informações para auditorias externas e internas.;Opening of a ticket for verification of information for external and internal audits.;960;1;72;GOVERNANCA;Abertura de chamado para apuração de informações para auditorias externas e internas;Opening of a ticket for verification of information for external and internal audits.;0,00;1;;;;;;;;1;;;;1;;;Solicitação1;;;
ITSM-CS-0000089;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Documento;Documento;Criação de Política de TI;Criação de Política de TI;N/A;N/A;Abertura de chamado pela equipe de TI para cancelamento de algum documento que esteja armazenado no Sistema de Gerenciamento de Documentação;Opening of the ticket by the IT team to cancel any document that is stored in the Documentation Management System;40;1;72;GOVERNANCA;Criação de politic;Opening of the ticket by the IT team to cancel any document that is stored in the Documentation Management System;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000090;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Documento;Documento;Criação de identificador Procedimento;Criação de identificador Procedimento;N/A;N/A;Abertura de chamado pela equipe de TI para solicitar a criação de documento.;Opening of the ticket by the IT team to request the creation of a document.;240;1;24;GOVERNANCA;Solicitação de identificador de documento.;Opening of the ticket by the IT team to request the creation of a document.;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000091;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Documento;Documento;Revisão de documento;Revisão de documento;N/A;N/A;Abertura de chamado pela equipe de TI para revisão de documentação;Opening of the ticket by the IT team for documentation review;240;1;96;GOVERNANCA;revisão de documento de TI. Politica ou procedimento. Informar o identificador.;Opening of the ticket by the IT team for documentation review;0,00;;1;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000092;DTI - Governança;ITD - Governance;Gerenciamento de Fornecedores;Supplier Management;Governança;Governance;Fornecedor;Fornecedor;Avaliação de Fornecedor;Avaliação de Fornecedor;N/A;N/A;Abertura de chamado para avaliação do fornecedor;Opening of the ticket for supplier evaluation;240;1;32;GOVERNANCA;Anexar as propostas e contatos do fornecedores;Opening of the ticket for supplier evaluation;0,00;1;;;;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000093;DTI - Governança;ITD - Governance;Acompanhamento Operacional;Operational Monitoring;Governança;Governance;Controle de TI;Controle de TI;Revisão de Validação - Documento de Manutenção;Revisão de Validação - Documento de Manutenção;N/A;N/A;Abertura pela equipe de TI e VSC para validação da documentação das manutenções de Sistemas e Infraestrutura;Opening by the IT and VSC team to validate the documentation for the maintenance of Systems and Infrastructure;960;1;999;GOVERNANCA;Abertura pela equipe de TI e VSC para validação da documentação das manutenções de Sistemas e Infraestrutura;Opening by the IT and VSC team to validate the documentation for the maintenance of Systems and Infrastructure;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000094;DTI - Governança;ITD - Governance;Acompanhamento Operacional;Operational Monitoring;Governança;Governance;Controle de TI;Controle de TI;Revisão de acessos  ( SE SUITE, MÊS, SAP );Revisão de acessos  ( SE SUITE, MÊS, SAP );N/A;N/A;Abertura pela equipe de TI e VSC para validação da documentação das manutenções de Sistemas e Infraestrutura;Opening by the IT and VSC team to validate the documentation for the maintenance of Systems and Infrastructure;960;1;24;GOVERNANCA;Abertura pela equipe de TI e VSC para validação da documentação das manutenções de Sistemas e Infraestrutura;Opening by the IT and VSC team to validate the documentation for the maintenance of Systems and Infrastructure;0,00;;1;;;;;1;;;;;;;;;Solicitação1;;;
ITSM-CS-0000095;DTI - Governança;ITD - Governance;Acompanhamento Operacional;Operational Monitoring;Governança;Governance;Controle de TI;Controle de TI;Acompanhamento de treinamentos criticos da empresa;Acompanhamento de treinamentos criticos da empresa;N/A;N/A;Abertura pela equipe de TI e VSC para validação da documentação das manutenções de Sistemas e Infraestrutura;Opening by the IT and VSC team to validate the documentation for the maintenance of Systems and Infrastructure;960;1;999;GOVERNANCA;Abertura pela equipe de TI e VSC para validação da documentação das manutenções de Sistemas e Infraestrutura;Opening by the IT and VSC team to validate the documentation for the maintenance of Systems and Infrastructure;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000096;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Reuniões, Comunicação;Reuniões, Comunicação;Solicitação de Reunião;Solicitação de Reunião;N/A;N/A;Abertura de chamado pela equipe de TI para agendamento de reunião;Opening of the ticket by the IT team for request meeting;40;1;999;GOVERNANCA;Abertura de chamado pela equipe de TI para agedamento de reunião;Opening of the ticket by the IT team for request meeting;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000097;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Suporte / Dúvidas;Support;Suporte / Dúvidas;Support;N/A;N/A;Abertura de chamado por qualquer área que necessita do suporte de Governança (Por exemplo: Auto inspesão, visita ao Data Center, Dúvidas);Opening of the ticket by any area that needs Governance support (For exemple: Self inspecting, visit to the Data Center, Questions);960;1;16;GOVERNANCA;Descreva sua dúvida;Opening of the ticket by any area that needs Governance support (For exemple: Self inspecting, visit to the Data Center, Questions);0,00;;1;;;;;1;;;;;;;;;Solicitação1;;;
ITSM-CS-0000098;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Treinamento;Treinamento;Ministrar Treinamento;Ministrar Treinamento;N/A;N/A;Abertura de chamado pela equipe de TI para solicitação de treinamento (Por exemplo: novo colaborador ou alteração no processo);Opening of the ticket by the IT team to request training (For exemple: new employee or change in the process);240;1;999;GOVERNANCA;Abertura de chamado pela equipe de TI para solicitação de treinamento (Por exemplo: novo colaborador ou alteração no processo);Abertura de chamado pela equipe de TI para solicitação de treinamento (Por exemplo: novo colaborador ou alteração no processo);0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000809;DTI - Governança;ITD - Governance;Gerenciamento de Stream;Stream Management;Governança;Governance;Gerenciamento Stream;Stream Management;Criação de Canal;Channel Creation;N/A;N/A;Abertura de chamado para solicitação de criação de um canal no Strem (Microsoft).;Opening of the ticket  to request the creation of a channel in Strem (Microsoft).;240;1;72;GOVERNANCA;Descreva o nome do canal, uma breve descrição e objetivo do canal.;Describe the name of the channel, a description and purpose of the channel.;0,00;1;;;;;;;;;;;1;;;;Solicitação1;;;
ITSM-CS-0000810;DTI - Governança;ITD - Governance;Gerenciamento de Stream;Stream Management;Governança;Governance;Gerenciamento Stream;Stream Management;Alteração de Canal;Channel Change;N/A;N/A;Abertura de chamado para solicitação de alteração de um canal no Strem (Microsoft);Opening of the ticket to request a change of a channel in Strem (Microsoft);240;1;32;GOVERNANCA;Descreva o canal que deve ser alterado e qual deve ser o tipo de alteração a ser realizada.;Describe the channel that should be changed and what type of change should be made.;0,00;1;;;;;;;;;;;1;;;;Solicitação1;;;
ITSM-CS-0000811;DTI - Governança;ITD - Governance;Gerenciamento de Stream;Stream Management;Governança;Governance;Gerenciamento Stream;Stream Management;Exclusão de Canal;Channel Delete;N/A;N/A;Abertura de chamado para solicitação de exclusão de um canal no Strem (Microsoft);Opening of a ticket  to request deletion of a channel in Strem (Microsoft);240;1;32;GOVERNANCA;Descreva o canal que deve ser excluído e a justificativa da exclusão.;Describe the channel that should be excluded and the reason for the exclusion.;0,00;1;;;;;;;;;;;1;;;;Solicitação1;;;
ITSM-CS-0000812;DTI - Governança;ITD - Governance;Gerenciamento de Stream;Stream Management;Governança;Governance;Gerenciamento Stream;Stream Management;Upload de Video;Video Upload;N/A;N/A;Abertura de chamado para solicitação de upload de vídeo no canal de Governança.;Opening of a ticket by the IT team to request a video upload on the Governance channel.;240;1;16;GOVERNANCA;Descreva qual o nome do vídeo.;Describe the name of the video.;0,00;;;;1;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000813;DTI - Governança;ITD - Governance;Gerenciamento de Stream;Stream Management;Governança;Governance;Gerenciamento Stream;Stream Management;Acesso de usuário a upload de vídeo;User access to upload video;N/A;N/A;Abertura de chamado para solicitação de inclusão de usuário na lista de autorizados a realizar upload em um canal.;Opening of a ticket to request inclusion of a user in the list of authorized to upload to a channel.;240;1;60;GOVERNANCA;Descreva o nome do usuário que deverá ter acesso.;Describe the name of the user who should have access.;0,00;1;;;;;;;;;;;1;;;;Solicitação1;;;
ITSM-CS-0000822;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Documento;Document;Cancelamento de Documento - Categorias TI - Se Suite;Document Cancellation - IT Categories - Se Suite;N/A;N/A;Abertura de chamado pela equipe de TI para cancelamento de algum documento que esteja armazenado no Sistema de Gerenciamento de Documentação;Opening of the ticket by the IT team to cancel any document that is stored in the Documentation Management System;10;1;24;GOVERNANCA;"Abertura de chamado pela equipe de TI para cancelamento de algum documento que esteja armazenado no Sistema de Gerenciamento de Documentação, deve ser incluído:
Identificador do documento que será cancelado e a justificativa";Opening of the ticket by the IT team to cancel any document that is stored in the Documentation Management System;0,00;;1;;;;;;;1;;;;;;;Solicitação1;;;
ITSM-CS-0000969;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Capacitação e Treinamento;Qualification and Training;Participação em eventos;Participation in events;N/A;N/A;N/A;N/A;240;1;999;GOVERNANCA;N/A;N/A;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000970;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Projetos;Project;Projeto;Project;Projeto de Governança;Governance Project;N/A;N/A;240;1;999;GOVERNANCA;N/A;N/A;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000971;DTI - Governança;ITD - Governance;Atividades Governança;Governance activities;Governança;Governance;Inovação;Inovation;Inovação;Inovation;Atividades de P&D para melhorias, estudos de novas soluções etc;Activities for improvements, studies of new solutions etc.;N/A;N/A;10;1;999;GOVERNANCA;N/A;N/A;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000981;DTI - Governança;ITD - Governance;Portifólio de Serviços de TI;IT Services Portfolio;Governança;Governance;Portifólio de Serviços de TI;IT Services Portfolio;Manutenção do Catálogo de Serviços;Service Catalog Maintenance;N/A;N/A;Abertura de chamado para registro de revisão no catálogo de serviços de TI.;Opening a ticket for review record in the IT service catalog.;40;1;999;GOVERNANCA;Abertura de chamado para registro de revisão no catálogo de serviços de TI.;Opening a ticket for review record in the IT service catalog.;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000982;DTI - Governança;ITD - Governance;Acompanhamento Operacional;Operational Monitoring;Governança;Governance;Controle de TI;IT control;Gestão de Atividades;Activity Management;N/A;N/A;Abertura de chamado para registro de atividades inerentes ao setor de Governança.;Opening of ticket to record activities inherent to the Governance sector.;240;1;999;GOVERNANCA;Abertura de chamado para registro de atividades inerentes ao setor de Governança.;Opening of ticket to record activities inherent to the Governance sector.;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000983;DTI - Governança;ITD - Governance;Gestão de Processo;Process Management;Governança;Governance;Problemas;Problems;Revisão e Melhoria Contínua;Review and Continuous Improvement;N/A;N/A;Abertura de chamado para registro de atividades de melhoria continua com relação ao processo.;Opening of ticket for recording continuous improvement activities in relation to the process.;1;1;999;GOVERNANCA;Abertura de chamado para registro de atividades de melhoria continua com relação ao processo.;Opening of a call for recording continuous improvement activities in relation to the process.;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000984;DTI - Governança;ITD - Governance;Gestão de Processo;Process Management;Governança;Governance;Problemas;Problems;Execução e Atividades;Execution and Activities;N/A;N/A;Abertura de chamado para registro de atividades de execução de atividades inerentes a gestão do processo de governança.;Opening of ticket to record activities for the execution of activities inherent to the management of the governance process.;1;1;999;GOVERNANCA;Abertura de chamado para registro de atividades de execução de atividades inerentes a gestão do processo de governança.;Opening of ticket to record activities for the execution of activities inherent to the management of the governance process.;0,00;;;;1;;;;;;;;;;;;Problema;;;
ITSM-CS-0000985;DTI - Governança;ITD - Governance;Gestão de Processo;Process Management;Governança;Governance;Mudanças;Change;Revisão e Melhoria Contínua;Review and Continuous Improvement;N/A;N/A;Abertura de chamado para registro de atividades de melhoria continua com relação ao processo.;Opening of ticket for recording continuous improvement activities in relation to the process.;1;1;999;GOVERNANCA;Abertura de chamado para registro de atividades de melhoria continua com relação ao processo.;Opening of ticket for recording continuous improvement activities in relation to the process.;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
ITSM-CS-0000986;DTI - Governança;ITD - Governance;Gestão de Processo;Process Management;Governança;Governance;Mudanças;Change;Execução e Atividades;Execution and Activities;N/A;N/A;Abertura de chamado para registro de atividades de execução de atividades inerentes a gestão do processo de governança.;Opening of ticket to record activities for the execution of activities inherent to the management of the governance process.;1;1;16;GOVERNANCA;Abertura de chamado para registro de atividades de execução de atividades inerentes a gestão do processo de governança.;Opening of ticket to record activities for the execution of activities inherent to the management of the governance process.;0,00;;;;1;;;;;;;;;;;;Solicitação1;;;
